state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence,extraction_confidence_note,normalization_confidence,match_confidence,overall_confidence,input_mode,source_file,filename,flag
MI,Detroit Free Press,121300,1980,MI,PROPOSITION,B,Lower legal drinking age to 19,1,Vote YES,0.9,,,,,pdf,,121300_19801104,
MI,Detroit Free Press,121300,1980,MI,PROPOSITION,C,Coalition tax proposal,1,Vote YES,0.9,,,,,pdf,,121300_19801104,
MI,Detroit Free Press,121300,1980,MI,PROPOSITION,D,Tisch tax proposal,0,Vote NO,0.9,,,,,pdf,,121300_19801104,
MI,Detroit Free Press,121300,1980,MI,PROPOSITION,E,Increase of 1/10 of 1% in state income tax for state prisons,1,Vote YES,0.9,,,,,pdf,,121300_19801104,
MI,Detroit Free Press,121300,1980,MI,PROPOSITION,G,Removal of legislators' immunity from civil arrest,1,Vote YES,0.9,,,,,pdf,,121300_19801104,
MI,Detroit Free Press,121300,1980,MI,PROPOSITION,H,Removal of Lt. Governor's duty to preside over state Senate and cast tie-breaking votes,1,Vote YES,0.9,,,,,pdf,,121300_19801104,
MI,Detroit Free Press,121300,1980,MI,REFERENDUM,J,"Wayne County millage increases (schools, colleges, townships, medical, mental care, sheriff's/prosecutor's offices)",0,Vote NO on all,0.85,,,,,pdf,,121300_19801104,
MI,Detroit Free Press,121300,1980,MI,REFERENDUM,K,"Wayne County millage increases (schools, colleges, townships, medical, mental care, sheriff's/prosecutor's offices)",0,Vote NO on all,0.85,,,,,pdf,,121300_19801104,
MI,Detroit Free Press,121300,1980,MI,REFERENDUM,L,Wayne County millage increases,0,Vote NO on all,0.85,,,,,pdf,,121300_19801104,
MI,Detroit Free Press,121300,1980,MI,REFERENDUM,M,Wayne County millage increases,0,Vote NO on all,0.85,,,,,pdf,,121300_19801104,
MI,Detroit Free Press,121300,1980,MI,REFERENDUM,N,"Factors other than seniority (ability, skill, knowledge) considered in Detroit fire fighter promotions",1,Vote YES,0.9,,,,,pdf,,121300_19801104,
MI,Detroit Free Press,121300,1980,MI,REFERENDUM,Detroit O,Detroit City Council authority to hire attorney independent of corporation counsel,1,Vote YES,0.9,,,,,pdf,,121300_19801104,
MI,Detroit Free Press,121300,1980,MI,REFERENDUM,P,"Detroit bond sales (without tax increases) for Belle Isle, lighting, police stations, Institute of Arts, historic sites",1,Vote YES on all,0.85,,,,,pdf,,121300_19801104,
MI,Detroit Free Press,121300,1980,MI,REFERENDUM,Q,Detroit bond sales for various improvements,1,Vote YES on all,0.85,,,,,pdf,,121300_19801104,
MI,Detroit Free Press,121300,1980,MI,REFERENDUM,R,Detroit bond sales for various improvements,1,Vote YES on all,0.85,,,,,pdf,,121300_19801104,
MI,Detroit Free Press,121300,1980,MI,REFERENDUM,S,Detroit bond sales for various improvements,1,Vote YES on all,0.85,,,,,pdf,,121300_19801104,
MI,Detroit Free Press,121300,1980,MI,REFERENDUM,Y,3.5-mill increase for Detroit schools,1,Vote YES,0.9,,,,,pdf,,121300_19801104,
MI,Detroit Free Press,121300,1982,MI,PROPOSITION,A,Allow lawmakers to end exemption from civil arrest and process during legislative sessions,1,Vote YES,0.9,,,,,pdf,,121300_19821102,
MI,Detroit Free Press,121300,1982,MI,PROPOSITION,B,Set minimum staffing requirements for state police,0,Vote NO,0.9,,,,,pdf,,121300_19821102,
MI,Detroit Free Press,121300,1982,MI,PROPOSITION,C,Prevent some lenders from requiring new mortgages when property is sold,0,Vote NO,0.9,,,,,pdf,,121300_19821102,
MI,Detroit Free Press,121300,1982,MI,PROPOSITION,D,Reform procedures for approval of utility rate increases,0,Vote NO,0.9,,,,,pdf,,121300_19821102,
MI,Detroit Free Press,121300,1982,MI,PROPOSITION,E,Express desire for a mutual verifiable nuclear weapons freeze with the Soviet Union,1,Vote YES,0.9,,,,,pdf,,121300_19821102,
MI,Detroit Free Press,121300,1982,MI,PROPOSITION,G,Establish elected public service commission (utility regulators),0,Vote NO,0.9,,,,,pdf,,121300_19821102,
MI,Detroit Free Press,121300,1982,MI,PROPOSITION,H,Reform certain clauses and practices in utility rate-setting procedure,0,Vote NO,0.9,,,,,pdf,,121300_19821102,
MI,Detroit Free Press,121300,1982,MI,REFERENDUM,Detroit I,Detroit advisory question on maintaining Social Security system without cutbacks,0,Vote NO,0.9,,,,,pdf,,121300_19821102,
MI,Detroit Free Press,121300,1982,MI,REFERENDUM,Detroit J,Enable Detroit City Council to hire outside attorney for legal advice,1,Vote YES,0.9,,,,,pdf,,121300_19821102,
MI,Detroit Free Press,121300,1984,MI,PROPOSITION,A,Establish the Legislature's Joint Administrative Rules Committee as part of state Constitution,0,Vote NO,0.9,,,,,pdf,,121300_19841106_v2,
MI,Detroit Free Press,121300,1984,MI,PROPOSITION,B,Establish constitutional fund for acquiring recreational and environmentally sensitive land,0,Vote NO,0.9,,,,,pdf,,121300_19841106_v2,
MI,Detroit Free Press,121300,1984,MI,PROPOSITION,C,Roll back to 1981 levels all state and property taxes not approved in referendum (Voss-Tisch),0,Vote NO,0.9,,,,,pdf,,121300_19841106_v2,
MI,Detroit Free Press,121300,1984,MI,REFERENDUM,Detroit D,Detroit charter amendment to allow City Council to select and employ its own lawyers,1,Vote YES,0.9,,,,,pdf,,121300_19841106_v2,
MI,Detroit Free Press,121300,1984,MI,REFERENDUM,Detroit S,Detroit four-mill property tax increase for Detroit public schools,1,Vote YES,0.9,,,,,pdf,,121300_19841106_v2,
MI,Detroit Free Press,121300,1984,MI,REFERENDUM,Ann Arbor 1,Ann Arbor charter amendment to prohibit design/research/development/production of nuclear weapons within city limits,0,Vote NO,0.9,,,,,pdf,,121300_19841106_v2,
MI,Detroit Free Press,121300,1986,MI,PROPOSITION,A,Grant constitutional status to the Library of Michigan as part of legislative branch,0,Vote NO,0.9,,,,,pdf,,121300_19861102,
MI,Detroit Free Press,121300,1986,MI,PROPOSITION,B,Give constitutional status to the Joint Administrative Rules Committee of the Legislature,0,Vote NO,0.9,,,,,pdf,,121300_19861102,
MI,Detroit Free Press,121300,1986,MI,PROPOSITION,C,Expand the authority of the State Officers Compensation Commission,1,Vote YES,0.9,,,,,pdf,,121300_19861102,
MI,Detroit Free Press,121300,1986,MI,REFERENDUM,D,Eliminate office of the Wayne County drain commissioner,1,Vote YES,0.9,,,,,pdf,,121300_19861102,
MI,Detroit Free Press,121300,1986,MI,REFERENDUM,Wayne millage,Wayne County Community College tax increase by two-thirds of a mill,1,Vote YES,0.9,,,,,pdf,,121300_19861102,
MI,Detroit Free Press,121300,1986,MI,REFERENDUM,Macomb charter,Establish commission to draft a Macomb County charter (with county executive form of government),1,Vote YES,0.9,,,,,pdf,,121300_19861102,
MI,Detroit Free Press,121300,1986,MI,REFERENDUM,Detroit E,"Detroit bond sales for various city projects (streets, sewers, lights, police stations, zoo, Health Dept.)",1,Vote YES on all,0.85,,,,,pdf,,121300_19861102,
MI,Detroit Free Press,121300,1986,MI,REFERENDUM,Detroit F,Detroit bond sales for various city projects,1,Vote YES on all,0.85,,,,,pdf,,121300_19861102,
MI,Detroit Free Press,121300,1986,MI,REFERENDUM,Detroit G,Detroit bond sales for various city projects,1,Vote YES on all,0.85,,,,,pdf,,121300_19861102,
MI,Detroit Free Press,121300,1986,MI,REFERENDUM,Detroit H,Detroit bond sales for various city projects,1,Vote YES on all,0.85,,,,,pdf,,121300_19861102,
MI,Detroit Free Press,121300,1986,MI,REFERENDUM,Detroit I,Detroit bond sales for various city projects,1,Vote YES on all,0.85,,,,,pdf,,121300_19861102,
MI,Detroit Free Press,121300,1986,MI,REFERENDUM,Detroit S,Detroit bond sales to improve school buildings,1,Vote YES,0.9,,,,,pdf,,121300_19861102,
MI,Detroit Free Press,121300,1988,MI,PROPOSITION,A,Restrict use of tax funds for abortions for persons receiving public assistance,0,Vote NO,0.9,,,,,pdf,,121300_19881106,
MI,Detroit Free Press,121300,1988,MI,PROPOSITION,B,Include crime victims' rights in state Constitution,1,Vote YES,0.9,,,,,pdf,,121300_19881106,
MI,Detroit Free Press,121300,1988,MI,BOND,C,Authorize bonds for environmental protection programs,1,Vote YES,0.9,,,,,pdf,,121300_19881106,
MI,Detroit Free Press,121300,1988,MI,BOND,D,Authorize bonds for state and local recreation projects,1,Vote YES,0.9,,,,,pdf,,121300_19881106,
MI,Detroit Free Press,121300,1988,MI,REFERENDUM,Detroit J,Allow city to sell $25 million in bonds to pay for finishing expansion of Cobo Hall,1,Vote YES,0.9,,,,,pdf,,121300_19881106,
MI,Detroit Free Press,121300,1988,MI,REFERENDUM,Detroit N,Permit two-thirds majority of City Council to override mayoral vetoes of bond issues,1,Vote YES,0.9,,,,,pdf,,121300_19881106,
MI,Detroit Free Press,121300,1988,MI,REFERENDUM,Detroit R,Renew four-mill property tax for operating and maintaining Detroit schools,1,Vote YES,0.9,,,,,pdf,,121300_19881106,
MI,Detroit Free Press,121300,1988,MI,REFERENDUM,Detroit S,Increase property tax by six mills for operating and maintaining Detroit schools,0,Vote NO,0.9,,,,,pdf,,121300_19881106,
MI,Detroit Free Press,121300,1988,MI,REFERENDUM,Detroit T,Authorize sale of $160 million in bonds to finance school district's current and projected deficits,0,Vote NO,0.9,,,,,pdf,,121300_19881106,
MI,Detroit Free Press,121300,1988,MI,REFERENDUM,Wayne suburb millage,Ban on suburban Wayne County special education millage if banned in Detroit,1,Vote YES,0.85,,,,,pdf,,121300_19881106,
MI,Detroit Free Press,121300,1988,MI,REFERENDUM,Wayne 1-mill schools,Wayne County 1-mill property tax for special education programs,1,Vote YES,0.85,,,,,pdf,,121300_19881106,
MI,Detroit Free Press,121300,1988,MI,REFERENDUM,Oakland car/truck fees,Oakland County $25 annual fee on cars/trucks for road improvements,1,Vote YES,0.85,,,,,pdf,,121300_19881106,
MI,Detroit Free Press,121300,1988,MI,BOND,Macomb college bonds,Macomb Community College bonds ($19.2 million) for repairs/equipment,1,Vote YES,0.85,,,,,pdf,,121300_19881106,
MI,Detroit Free Press,121300,1988,MI,REFERENDUM,Macomb college courses,1/3 mill increase for 4 years to allow Macomb Community College to offer bachelor degree programs,1,Vote YES,0.85,,,,,pdf,,121300_19881106,
MI,Detroit Free Press,121300,1990,MI,REFERENDUM,C,Detroit Charter (special elections to fill vacancies on City Council within 180 days),1,Vote YES,0.9,,,,,pdf,,121300_19901106,
MI,Detroit Free Press,121300,1990,MI,REFERENDUM,L,Detroit Lighting Department (one-third mill renewal for purposes of Detroit Public Lighting Department),1,Vote YES,0.9,,,,,pdf,,121300_19901106,
MI,Detroit Free Press,121300,1990,MI,REFERENDUM,Metro Airport Bonds,Wayne County to authorize sale of $100 million in bonds for Detroit Metropolitan Airport infrastructure,1,Vote YES,0.9,,,,,pdf,,121300_19901106,
MI,Detroit Free Press,121300,1990,MI,REFERENDUM,WCCC millage,Wayne County Community College millage,1,Vote YES,0.85,,,,,pdf,,121300_19901106,
MI,Detroit Free Press,121300,1992,MI,PROPOSITION,A,Limit annual increases in homestead property tax assessments and provide separate tax limitations for different property classifications,0,Vote NO,0.92,,,,,pdf,,121300_19921103_v2,
MI,Detroit Free Press,121300,1992,MI,PROPOSITION,B,"Limit the number of times a person can be elected to congressional, state executive, and state legislative offices (term limits)",0,Vote NO,0.92,,,,,pdf,,121300_19921103_v2,
MI,Detroit Free Press,121300,1992,MI,PROPOSITION,C,Reduce school operating property taxes and limit annual increases in all property tax assessments,0,Vote NO,0.92,,,,,pdf,,121300_19921103_v2,
MI,Detroit Free Press,121300,1992,MI,PROPOSITION,D,Reduce auto insurance rates in Michigan by limiting coverage and giving up the right to sue in auto accidents,0,Vote NO,0.92,,,,,pdf,,121300_19921103_v2,
MI,Detroit Free Press,121300,1992,MI,PROPOSITION,Wayne 1,Require county executive to give county commissioners a reorganization plan for county government at least once every four years,0,Vote NO,0.9,,,,,pdf,,121300_19921103_v2,
MI,Detroit Free Press,121300,1992,MI,REFERENDUM,Wayne 2,"Require Wayne County to spend within a year all money collected from the one-tenth mill it now levies for youth services, or return it to local communities",1,Vote YES,0.9,,,,,pdf,,121300_19921103_v2,
MI,Detroit Free Press,121300,1992,MI,PROPOSITION,Wayne 3,0.5-mill property tax increase for indigent health care and mental health programs,0,Vote NO,0.9,,,,,pdf,,121300_19921103_v2,
MI,Detroit Free Press,121300,1992,MI,REFERENDUM,WCCC Millage,1-mill property tax for the operation of Wayne County Community College,1,Vote YES,0.9,,,,,pdf,,121300_19921103_v2,
MI,Detroit Free Press,121300,1992,MI,REFERENDUM,Detroit Schools,Renew for another two years a 3-mill property tax levy,1,Vote YES,0.9,,,,,pdf,,121300_19921103_v2,
MI,Detroit Free Press,121300,1994,MI,PROPOSITION,A,Convene a constitutional convention for the purpose of revising the state Constitution,0,Vote NO,0.9,,,,,pdf,,121300_19941108_v2,
MI,Detroit Free Press,121300,1994,MI,PROPOSITION,B,Restrict criminal defendants who plead guilty or no contest from appealing their cases (except for sentence appeals),1,Vote YES,0.85,,,,,pdf,,121300_19941108_v2,
MI,Detroit Free Press,121300,1994,MI,PROPOSITION,C,Reduce auto insurance rates in Michigan by limiting coverage and the right to sue in auto accidents,0,Vote NO,0.9,,,,,pdf,,121300_19941108_v2,
MI,Detroit Free Press,121300,1994,MI,PROPOSITION,P,"Establish an endowment fund to operate, maintain and improve state parks",1,Vote YES,0.9,,,,,pdf,,121300_19941108_v2,
MI,Detroit Free Press,121300,1994,MI,REFERENDUM,Wayne WCCC millage,Renew a one-mill property tax for the operation of Wayne County Community College,1,Vote YES,0.9,,,,,pdf,,121300_19941108_v2,
MI,Detroit Free Press,121300,1994,MI,REFERENDUM,Detroit S,Authorize $1.5 billion in bonds over 15 years for improvements in existing Detroit school buildings,0,Vote NO,0.9,,,,,pdf,,121300_19941108_v2,
MI,Detroit Free Press,121300,1996,MI,PROPOSITION,A,Prohibit bingo games as campaign fund-raisers,0,Vote NO,0.9,,,,,pdf,,121300_19961105_v2,
MI,Detroit Free Press,121300,1996,MI,PROPOSITION,B,Require all new judges in state court system must have been lawyers for at least five years,0,Vote NO,0.9,,,,,pdf,,121300_19961105_v2,
MI,Detroit Free Press,121300,1996,MI,PROPOSITION,C,Establish current Michigan Veterans Trust Fund in state Constitution,1,Vote YES,0.9,,,,,pdf,,121300_19961105_v2,
MI,Detroit Free Press,121300,1996,MI,PROPOSITION,D,"Ban use of dogs and bait piles for hunting bears, limit bear hunting season",1,Vote YES,0.9,,,,,pdf,,121300_19961105_v2,
MI,Detroit Free Press,121300,1996,MI,REFERENDUM,E,Authorize as many as three casinos in Detroit,0,Vote NO,0.9,,,,,pdf,,121300_19961105_v2,
MI,Detroit Free Press,121300,1996,MI,PROPOSITION,G,Give state Natural Resources Commission exclusive authority over hunting regulations,0,Vote NO,0.9,,,,,pdf,,121300_19961105_v2,
MI,Detroit Free Press,121300,1996,MI,REFERENDUM,Detroit T,Require excess pension fund earnings be distributed in same proportion that city and employees contributed,1,Vote YES,0.9,,,,,pdf,,121300_19961105_v2,
MI,Detroit Free Press,121300,1996,MI,REFERENDUM,Detroit S,Authorize taxes on hotel/motel bills and rental vehicles to help pay for stadium complex in Detroit,1,Vote YES,0.9,,,,,pdf,,121300_19961105_v2,
MI,Detroit Free Press,121300,1996,MI,PROPOSITION,Wayne Independent Counsel,Permit county commissioners to appoint an independent lawyer for legal services,1,Vote YES,0.9,,,,,pdf,,121300_19961105_v2,
MI,Detroit Free Press,121300,1996,MI,PROPOSITION,Wayne Auditor,Expand the powers of the county auditor general's office,1,Vote YES,0.9,,,,,pdf,,121300_19961105_v2,
MI,Detroit Free Press,121300,1996,MI,REFERENDUM,Wayne Comm College,Renew for five years a one-mill property tax for Wayne County Community College,1,Vote YES,0.9,,,,,pdf,,121300_19961105_v2,
MI,Detroit Free Press,121300,1998,MI,PROPOSITION,A,Change the word 'handicapped' to 'disabled' in the state Constitution,1,Vote YES,0.9,,,,,pdf,,121300_19981101,
MI,Detroit Free Press,121300,1998,MI,PROPOSITION,B,Legalize physician-assisted suicide for terminally ill adults under certain circumstances,0,Vote NO,0.9,,,,,pdf,,121300_19981101,
MI,Detroit Free Press,121300,1998,MI,BOND,C,Approve sale of state bonds (up to $675 million) for environmental and pollution clean-up programs,1,Vote YES,0.9,,,,,pdf,,121300_19981101,
MI,Detroit Free Press,121300,1998,MI,PROPOSITION,Washtenaw 1,Raise property tax by 0.4 mills to protect farmland and open spaces (Washtenaw County),1,Vote YES,0.9,,,,,pdf,,121300_19981101,
MI,Detroit Free Press,121300,1998,MI,REFERENDUM,Wayne Tax board,Eliminate Wayne County Tax Allocation Board (which sets rates for certain units of government),0,Vote NO,0.9,,,,,pdf,,121300_19981101,
MI,Detroit Free Press,121300,1998,MI,REFERENDUM,Wayne Civil Service,Change the way Wayne County civil service commission members are appointed,1,Vote YES,0.9,,,,,pdf,,121300_19981101,
MI,Detroit Free Press,121300,1998,MI,REFERENDUM,Detroit Community Councils,Eliminate community advisory councils from Detroit city charter,0,Vote NO,0.9,,,,,pdf,,121300_19981101,
MI,Detroit Free Press,121300,1998,MI,REFERENDUM,Detroit Living Wage,Require city contractors and others receiving city assistance to pay wages at least at the federal poverty level (then $7.70/hr),1,Vote YES,0.9,,,,,pdf,,121300_19981101,
MI,Detroit Free Press,121300,1998,MI,REFERENDUM,WCCC,Make current one-mill tax for school operations permanent (Wayne County Community College),0,Vote NO,0.9,,,,,pdf,,121300_19981101,
MI,Detroit Free Press,121300,2000,MI,PROPOSITION,1,Statewide proposal: Guarantee a level of per-pupil spending,0,Vote NO,0.85,OCR fragmented but the position is clear,,,,pdf,,121300_20001105,
MI,Detroit Free Press,121300,2000,MI,PROPOSITION,2,Statewide proposal: Township government decision-making,0,Vote NO,0.8,OCR fragmented; description partial,,,,pdf,,121300_20001105,
MI,Detroit Free Press,121300,2000,MI,REFERENDUM,Wayne 1.5-mill,Wayne County 1.5-mill increase for school upgrades and operations,1,Vote YES,0.85,,,,,pdf,,121300_20001105,
MI,Detroit Free Press,121300,2000,MI,REFERENDUM,A,Detroit arts enrichment: 10-year half-mill property tax to benefit cultural programs,1,Vote YES,0.9,,,,,pdf,,121300_20001105,
MI,Detroit Free Press,121300,2000,MI,REFERENDUM,Detroit H,Detroit Bond: neighborhood redevelopment,1,Vote YES,0.85,,,,,pdf,,121300_20001105,
MI,Detroit Free Press,121300,2000,MI,REFERENDUM,Detroit I,Detroit Bond: Detroit Institute of Arts,1,Vote YES,0.9,,,,,pdf,,121300_20001105,
MI,Detroit Free Press,121300,2000,MI,REFERENDUM,Detroit J,Detroit Bond: public lighting system,1,Vote YES,0.9,,,,,pdf,,121300_20001105,
MI,Detroit Free Press,121300,2000,MI,REFERENDUM,Detroit R,"Detroit Bond: recreation, zoo and cultural facilities",1,Vote YES,0.9,,,,,pdf,,121300_20001105,
MI,Detroit Free Press,121300,2000,MI,REFERENDUM,Detroit S,Detroit Bond: public safety facilities,1,Vote YES,0.9,,,,,pdf,,121300_20001105,
MI,Detroit Free Press,121300,2000,MI,REFERENDUM,Detroit C,Detroit City Charter amendment,0,Vote NO,0.85,,,,,pdf,,121300_20001105,
MI,Detroit Free Press,121300,2002,MI,PROPOSITION,1,"Referendum on a law that would, in part, discontinue the straight-party voting option on ballots",0,Vote NO,0.92,,,,,pdf,,121300_20021103,
MI,Detroit Free Press,121300,2002,MI,BOND,2,"Authorize bonds for sewage treatment works projects, storm water projects and water pollution projects",1,Vote YES,0.92,,,,,pdf,,121300_20021103,
MI,Detroit Free Press,121300,2002,MI,PROPOSITION,3,Constitutional amendment to grant state employees the right to collective bargaining with binding arbitration,0,Vote NO,0.92,,,,,pdf,,121300_20021103,
MI,Detroit Free Press,121300,2002,MI,PROPOSITION,4,Constitutional amendment to dedicate a percentage of tobacco settlement revenue to smoking-prevention programs and health care institutions,0,Vote NO,0.92,,,,,pdf,,121300_20021103,
MI,Detroit Free Press,121300,2002,MI,REFERENDUM,K,"Wayne and Oakland Counties, Detroit: half-mill property tax for local and regional arts, culture and recreation for 10 years",1,Vote YES,0.92,,,,,pdf,,121300_20021103,
MI,Detroit Free Press,121300,2002,MI,REFERENDUM,Macomb Emergency,"Macomb County: surcharge on home telephone lines to fund improvements in communications systems for police, fire and emergency medical agencies",1,Vote YES,0.9,,,,,pdf,,121300_20021103,
MI,Detroit Free Press,121300,2002,MI,REFERENDUM,Ypsilanti Human Rights,Ypsilanti charter amendment to remove sexual orientation from anti-discrimination law,0,Vote NO,0.9,,,,,pdf,,121300_20021103,
MI,Detroit Free Press,121300,2002,MI,REFERENDUM,Auburn Hills 1,Auburn Hills Charter Amendment No. 1: Auto-appoint next-highest vote-getter from previous election to fill City Council vacancy,1,Vote YES,0.9,,,,,pdf,,121300_20021103,
