state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence,source_folder,permid,icpsr,bonica_rid,recipient_cfscore,dwnom1,dwnom2,dime_party_code,dime_match_score,dime_match_confidence,bioname_voteview,voteview_match_score,voteview_match_confidence,sler_id,sler_name,sler_vote,sler_outcome,sler_party,sler_match_score,sler_match_confidence,merge_conflict
CA,CHICO ENTERPRISE RECORD,101500,1932,JUDGE,Battle County,Battle County,CA,"DEIRUP, HARRY",,1,,,,No party or incumbent information found,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1948,H,,Chico,CA,"LOOMIS, BERT W.",,,,,,No party or incumbent info found,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1948,H,1,,CA,"SCUDDER, HUBERT B.",Republican,1,1,,,,,Chico Enterprise Record,6898,8322,,,0.291,-0.347,,,,"SCUDDER, Hubert Baxter",85,1,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1948,PRESIDENT,,,CA,"DEWEY, THOMAS E.",Republican,1,1,,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1948,VICE PRESIDENT,,,CA,"WARREN, EARL",Republican,1,1,,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1950,COMPTROLLER,,,CA,"KUCHEL, THOMAS J.",Republican,1,,1,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1950,GOVERNOR,,,CA,"WARREN, EARL",Republican,1,,1,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1950,H,1,,CA,"SCUDDER, HUBERT B.",Republican,1,,1,,,,Chico Enterprise Record,6898,8322,,,0.291,-0.347,,,,"SCUDDER, Hubert Baxter",85,1,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1950,LT GOVERNOR,,,CA,"KNIGHT, GOODWIN J.",Republican,1,,1,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1950,SEC OF STATE,,,CA,"JORDAN, FRANK M.",Republican,1,,1,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1950,SENATOR,,,CA,"NIXON, RICHARD",Republican,1,,,,,,Chico Enterprise Record,6898,6939,,,0.162,-0.388,,,,"NIXON, Richard Milhous",77,0.7,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1950,STATE SENATOR,6,,CA,"BYRNE, PAUL L.",Republican,1,,,1,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1950,TREASURER,,,CA,"JOHNSON, CHARLES G.",Republican,1,,1,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1952,PRESIDENT,,,CA,"EISENHOWER, DWIGHT",Republican,1,,,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1952,SENATOR,,,CA,"KNOWLAND, WILLIAM F.",Republican,1,,1,,,,Chico Enterprise Record,6898,5343,,,0.227,-0.453,,,,"KNOWLAND, William Fife",90,1,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1952,STATE REP,4,,CA,"HOBBIE, DON",Republican,1,,,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1954,ATTORNEY GENERAL,,,CA,"BROWN, EDMUND G. ""PAT""",Democrat,1,1,,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1954,CNTY COMM,3,,CA,"BLACK, L. RAY",,,,,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1954,CNTY COMM,2,,CA,"YOUNG, PAUL H.",,,,,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1954,COMPTROLLER,,,CA,"KIRKWOOD, ROBERT C.",Republican,1,,1,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1954,DA/PROSECUTOR,,,CA,"LYDE, KEITH",,,,,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1954,GOVERNOR,,,CA,"KNIGHT, GOODWIN J.",Republican,1,,1,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1954,H,2,,CA,"ENGLE, CLAIR",Democrat,1,1,,,,,Chico Enterprise Record,6898,2965,,,-0.219,0.096,,,,"ENGLE, Clair",100,1,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1954,LT GOVERNOR,,,CA,"POWERS, HAROLD J, ""BUTCH""",Republican,1,,1,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1954,SEC OF STATE,,,CA,"JORDAN, FRANK M.",Republican,1,,1,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1954,SENATOR,,,CA,"KUCHEL, THOMAS H.",Republican,1,,1,,,,Chico Enterprise Record,6898,5372,,,0.098,-0.61,,,,"KUCHEL, Thomas Henry",86,1,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1954,STATE BOARD OF ED,,,CA,"LEAKE, PAUL",Democrat,1,1,,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1954,STATE REP,4,,CA,"HOBBIE, DON",Republican,1,,1,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1954,STATE SENATOR,6,,CA,"BYRNE, PAUL L.",Republican,1,,1,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1954,TREASURER,,,CA,"JOHNSON, CHARLES G.",Republican,1,,1,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1956,PRESIDENT,,,CA,"EISENHOWER, DWIGHT",Republican,1,,1,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1956,SENATOR,,,CA,"KUCHEL, THOMAS H.",Republican,1,,1,,,,Chico Enterprise Record,6898,5372,,,0.098,-0.61,,,,"KUCHEL, Thomas Henry",86,1,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1956,STATE REP,,,CA,"SEDGWICK, HAROLD T.",Republican,1,,1,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1958,ATTORNEY GENERAL,,,CA,"MOSK, STANLEY",Democrat,1,1,,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1958,CNTY COMM,3,,CA,"GILES, FLOYD F.",,,,,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1958,COMPTROLLER,,,CA,"KIRKWOOD, ROBERT C.",Republican,1,,1,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1958,GOVERNOR,,,CA,"KNOWLAND, WILLIAM F.",Republican,1,,1,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1958,H,2,,CA,"TARR, CURTIS W.",Republican,1,1,,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1958,LT GOVERNOR,,,CA,"POWERS, HAROLD J, ""BUTCH""",Republican,1,,1,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1958,SEC OF STATE,,,CA,"JORDAN, FRANK M.",Republican,1,,1,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1958,SENATOR,,,CA,"ENGLE, CLAIR",Democrat,1,,1,,,,Chico Enterprise Record,6898,2965,,,-0.219,0.096,,,,"ENGLE, Clair",100,1,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1958,STATE REP,,,CA,"SEDGWICK, HAROLD T.",Republican,1,,1,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1958,TREASURER,,,CA,"BUTTON, A. RONALD",Republican,1,,1,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1960,H,2,,CA,"NAGEL, FREDERIC H.",Republican,1,1,,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1960,H,1,,CA,"NAGEL, FREDERIC H. JR",,,,,,No party info found,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1960,PRESIDENT,,,CA,"NIXON, RICHARD",,,,,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1960,STATE REP,,CHICO,CA,HAROLD T. SEDGWICK,,,,,1,No party info found,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1960,STATE REP,4,,CA,"SEDGWICK, HAROLD T.",Republican,1,,1,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1960,VICE PRESIDENT,,,CA,"LODGE, HENRY CABOT",,,,,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1962,ATTORNEY GENERAL,,,CA,"COAKLEY, TOM",Republican,1,1,,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1962,COMPTROLLER,,,CA,"CRANSTON, ALAN",Democrat,1,1,,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1962,GOVERNOR,,,CA,"NIXON, RICHARD",Republican,1,1,,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1962,H,,,CA,"JOHNSON, HAROLD T. (BIZZ)",Democrat,1,1,,,,,Chico Enterprise Record,6898,4957,,,-0.439,0.503,,,,"JOHNSON, Harold Terry",83,0.7,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1962,LT GOVERNOR,,,CA,"CHRISTOPHER, GOERGE",Republican,1,1,,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1962,SEC OF STATE,,,CA,"JORDAN, FRANK M.",Republican,1,,1,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1962,SENATOR,,,CA,"KUCHEL, THOMAS H.",Republican,1,,1,,,,Chico Enterprise Record,6898,5372,,,0.098,-0.61,,,,"KUCHEL, Thomas Henry",86,1,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1962,STATE BOARD OF ED,,,CA,"LEAKE, PAUL",Democrat,1,1,,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1962,STATE REP,,,CA,"JOHNSON, RAY E.",,1,,,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1962,STATE SENATOR,,,CA,"SHAPIRO, S. E. (CHICK)",,1,,,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1962,SUPERINTENDENT,,,CA,"RICHARDSON, RALPH",,1,,,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1962,TREASURER,,,CA,"BETTS, BERT A.",Democrat,1,1,,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1964,CNTY COMM,5,,CA,"STEINEGGER, EMIL",,1,,,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1964,H,,,CA,"JOHNSON, HAROLD T. (BIZZ)",Democrat,1,1,,,,,Chico Enterprise Record,6898,4957,,,-0.439,0.503,,,,"JOHNSON, Harold Terry",83,0.7,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1964,JUDGE,,,CA,"DALEY, TILLMAN",,1,,,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1964,PRESIDENT,,,CA,"GOLDWATER, BARRY",Republican,1,1,,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1964,SENATOR,,,CA,"MURPHY, GEORGE",Republican,1,1,,,,,Chico Enterprise Record,6898,10814,,,0.341,-0.251,,,,"MURPHY, George Lloyd",82,0.7,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1964,STATE REP,4,,CA,"JOHNSON, RAY E.",Republican,1,1,,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1966,ASSESSOR,,,CA,"MCLAIN, EARL",,1,,,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1966,ATTORNEY GENERAL,,,CA,"WILLIAMS, SPENCER",,1,,,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1966,CNTY COMM,3,,CA,"CONLEY, JUDY B.",,1,,,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1966,CNTY COMM,2,,CA,"HOWSDEN, ARLEY",,1,,,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1966,COMPTROLLER,,,CA,"CRANSTON, ALAN",Democrat,1,1,,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1966,GOVERNOR,,,CA,"REAGAN, RONALD",Republican,1,1,,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1966,H,,,CA,"JOHNSON, HAROLD T. (BIZZ)",Democrat,1,1,,,,,Chico Enterprise Record,6898,4957,,,-0.439,0.503,,,,"JOHNSON, Harold Terry",83,0.7,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1966,LT GOVERNOR,,,CA,"FINCH, ROBERT H.",Republican,1,1,,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1966,RECORDER,,,CA,"STEINEGGER, EMIL",,1,,,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1966,SEC OF STATE,,,CA,"JORDAN, FRANK M.",Republican,1,,1,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1966,STATE BOARD OF ED,,,CA,"LEAKE, PAUL",Democrat,1,1,,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1966,STATE REP,,,CA,"JOHNSON, RAY E.",Republican,1,,1,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1966,STATE SENATOR,2,,CA,"MARLER, FRED W.",Republican,1,1,,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1966,TREASURER,,,CA,"BETTS, BERT A.",Democrat,1,1,,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1968,CNTY COMM,5,,CA,"REYNOLDS, JERE",,1,,,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1968,H,,,CA,"JOHNSON, HAROLD T. ""BIZZ""",Democrat,1,1,,,,,Chico Enterprise Record,6898,4957,,,-0.439,0.503,,,,"JOHNSON, Harold Terry",83,0.7,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1968,PRESIDENT,,,CA,"NIXON, RICHARD",Republican,1,,,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1968,SENATOR,,,CA,"RAFFERTY, MAX",Republican,1,,,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1968,STATE REP,,,CA,"JOHNSON, RAY E.",Republican,1,,1,,,,Chico Enterprise Record,6898,,,,,,,,,,,,12809,"johnson, ray 1",60043.0,w,modernrepublican,92,1,
CA,CHICO ENTERPRISE RECORD,101500,1970,ATTORNEY GENERAL,,,CA,"YOUNGER, EVELLE J.",Republican,1,,1,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1970,CNTY COMM,2,,CA,"GILMAN, ART",,1,,,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1970,COMPTROLLER,,,CA,"FLOURNOY, HOUSTON I.",Republican,1,,1,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
CA,CHICO ENTERPRISE RECORD,101500,1970,GOVERNOR,,,CA,"REAGAN, RONALD",Republican,1,,1,,,,Chico Enterprise Record,6898,,,,,,,,,,,,,,,,,,,
