state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
AZ,Arizona Daily Star,100750,1930,AZ,AMENDMENT,110-111,AUTOMOBILE TAX EXEMPTION,0,"VOTE NO; WOULD EXEMPT $20,000,000 OF PROPERTY FROM TAXATION; AUTOS USE ROADS | Phase 11 direction verified (sample OCR-confirmed)",0.7
AZ,Arizona Daily Star,100750,1930,AZ,BOND,108-109,STATE HIGHWAY BOND ISSUE FOR SURFACING HIGHWAYS,1,VOTE YES; COMPREHENSIVE PLAN; COST OF BONDS BORNE BY AUTOMOBILE OWNERS | Phase 11 direction verified (sample OCR-confirmed),0.7
AZ,Arizona Daily Star,100750,1944,AZ,AMENDMENT,,PROPOSED CONSTITUTIONAL AMENDMENT,0,STAR URGES VOTE NO ON BOTH PROPOSED AMENDMENT AND REFERENDUM | Phase 11 direction verified (sample OCR-confirmed),0.9
AZ,Arizona Daily Star,100750,1944,AZ,REFERENDUM,,PROPOSED REFERENDUM MEASURE,0,STAR URGES VOTE NO ON BOTH PROPOSED AMENDMENT AND REFERENDUM | Phase 11 direction verified (sample OCR-confirmed),0.9
AZ,Arizona Daily Star,100750,1944,AZ,REFERENDUM,,PROPOSED REFERENDUM 1944,0,NO | Phase 11 direction verified (sample OCR-confirmed),0.92
AZ,Arizona Daily Star,100750,1948,AZ,AMENDMENT,100-101,LEGISLATURE SIGNING PETITIONS TO CONVENE SPECIAL SESSION,0,VOTE NO | Phase 11 direction verified (sample OCR-confirmed),0.95
AZ,Arizona Daily Star,100750,1948,AZ,AMENDMENT,100-101,PROPOSED CONSTITUTIONAL AMENDMENT: 'TWO-THIRDS OF LEGISLATURE SIGNING PETITIONS TO CONVENE SPECIAL SESSION',0,VOTE 'NO' ON 101 — SHOULD BE DEFEATED | Phase 11 direction verified (sample OCR-confirmed),0.95
AZ,Arizona Daily Star,100750,1948,AZ,AMENDMENT,102-103,CONSOLIDATING ALL COUNTY SUPERIOR COURTS INTO ONE COURT,1,VOTE YES; CORRECTS TECHNICAL DEFECT | Phase 11 direction verified (sample OCR-confirmed),0.95
AZ,Arizona Daily Star,100750,1948,AZ,AMENDMENT,102-103,PROPOSED CONSTITUTIONAL AMENDMENT: 'CONSOLIDATING ALL COUNTY SUPERIOR COURTS INTO ONE COURT',1,"VOTE 'YES' ON 103 — CORRECTS TECHNICAL DEFECT, WILL FACILITATE ADMINISTRATION OF JUSTICE | Phase 11 direction verified (sample OCR-confirmed)",0.95
AZ,Arizona Daily Star,100750,1948,AZ,AMENDMENT,104-105,PERMITTING CITIES TO EMPLOY NON-RESIDENTS AS CITY MANAGERS,1,VOTE YES; ENABLES CITY ADMINISTRATIONS TO HIRE BEST CITY MANAGERS | Phase 11 direction verified (sample OCR-confirmed),0.95
AZ,Arizona Daily Star,100750,1948,AZ,AMENDMENT,104-105,PROPOSED CONSTITUTIONAL AMENDMENT: 'PERMITTING CITIES TO EMPLOY NON-RESIDENTS AS CITY MANAGERS',1,VOTE 'YES' ON 104 — MERITORIOUS PROPOSITION | Phase 11 direction verified (sample OCR-confirmed),0.95
AZ,Arizona Daily Star,100750,1948,AZ,AMENDMENT,106-107,GUBERNATORIAL SUCCESSION,1,VOTE YES; CLEARING UP LEGAL DEFECT | Phase 11 direction verified (sample OCR-confirmed),0.9
AZ,Arizona Daily Star,100750,1948,AZ,AMENDMENT,106-107,PROPOSED CONSTITUTIONAL AMENDMENT: 'RELATING TO GUBERNATORIAL SUCCESSION' (LINE OF SUCCESSION AFTER SECRETARY OF STATE),1,VOTE 'YES' ON 106 | Phase 11 direction verified (sample OCR-confirmed),0.95
AZ,Arizona Daily Star,100750,1948,AZ,INITIATIVE,302-303,HIGHWAY PATROL MERIT SYSTEM AND NUMBER OF PATROLMEN,0,VOTE NO; ANY SUCH MEASURE SHOULD BE ADOPTED BY LEGISLATURE | Phase 11 direction verified (sample OCR-confirmed),0.95
AZ,Arizona Daily Star,100750,1948,AZ,INITIATIVE,302-303,INITIATIVE RELATING TO HIGHWAY PATROL — PROVIDING FOR MERIT SYSTEM AND NUMBER OF PATROLMEN,0,VOTE 'NO' ON 303 — SHOULD BE ADOPTED BY LEGISLATURE RATHER THAN INITIATIVE | Phase 11 direction verified (sample OCR-confirmed),0.95
AZ,Arizona Daily Star,100750,1948,AZ,INITIATIVE,304-305,LIMITING WORKMEN'S COMPENSATION ON EARNINGS OVER $1000.00 PER MONTH,1,VOTE YES; HIGH SALARIES PAID MOVIE ACTORS CALL FOR PROHIBITIVE INSURANCE PREMIUMS; LIMITING COMPENSATION | Phase 11 direction verified (sample OCR-confirmed),0.95
AZ,Arizona Daily Star,100750,1948,AZ,INITIATIVE,304-305,"INITIATIVE LIMITING WORKMEN'S COMPENSATION ON EARNINGS OVER $1,000 PER MONTH (RELATED TO MOVING PICTURE INDUSTRY)",1,VOTE 'YES' ON 304 — WOULD ENCOURAGE MOVING PICTURES BACK TO ARIZONA | Phase 11 direction verified (sample OCR-confirmed),0.95
AZ,Arizona Daily Star,100750,1948,AZ,INITIATIVE,306-307,CIVIL SERVICE FOR STATE AND CLASS ONE COUNTIES,0,VOTE NO; WOULD FREEZE INTO THEIR JOBS ALL PRESENT EMPLOYEES OF PIMA AND MARICOPA COUNTIES | Phase 11 direction verified (sample OCR-confirmed),0.95
AZ,Arizona Daily Star,100750,1948,AZ,INITIATIVE,306-307,INITIATIVE RELATING TO CIVIL SERVICE: ESTABLISHING CIVIL SERVICE BOARD FOR STATE AND CLASS ONE COUNTY EMPLOYEES IN PIMA AND MARICOPA COUNTIES,0,"VOTE 'NO' ON 307 — WOULD FREEZE INTO JOB ALL PRESENT STATE EMPLOYEES; WOULD SET UP NEW BUREAUCRACY; WOULD DISCRIMINATE AGAINST SPANISH-AMERICANS, NEGROES AND INDIANS | Phase 11 direction verified (sample OCR-confirmed)",0.95
AZ,Arizona Daily Star,100750,1948,AZ,INITIATIVE,308-309,"PUBLIC EMPLOYEES PARTICIPATION IN FUND FOR EMPLOYEES AND RETIREMENTS, DISABILITY AND DEATH BENEFITS",0,"VOTE NO; LONG, DETAILED LAW; CANNOT BE REVISED OR AMENDED EXCEPT BY VOTE OF PEOPLE | Phase 11 direction verified (sample OCR-confirmed)",0.95
AZ,Arizona Daily Star,100750,1948,AZ,INITIATIVE,308-309,"INITIATIVE RELATING TO PUBLIC EMPLOYEES — PROVIDING FOR FIREMEN'S FUND; PARTICIPATION IN FUND BY EMPLOYEES AND FOR RETIREMENTS, DISABILITY AND DEATH BENEFITS",0,"VOTE 'NO' ON 309 — LONG, DETAILED LAW OF MORE THAN 10,000 WORDS; IF ADOPTED BY LEGISLATURE CAN BE REVISED MORE EASILY | Phase 11 direction verified (sample OCR-confirmed)",0.95
AZ,Arizona Daily Star,100750,1948,AZ,REFERENDUM,200-301,"REFERENDUM MEASURE RELATING TO SENATE BILL 65 (RIGHT-TO-WORK AMENDMENT); CONCERNING RIGHTS OF EMPLOYEES, ANTI-STRIKE PROVISIONS",0,VOTE 'NO' ON 301 — LAW HAS GONE TOO FAR; STAR HAS EXPRESSED PREVIOUSLY THAT CURRENT LAW SHOULD BE SUPPLANTED BY MILDER LAW | Phase 11 direction verified (sample OCR-confirmed),0.95
AZ,Arizona Daily Star,100750,1948,AZ,REFERENDUM,300-301,RIGHT-TO-WORK AMENDMENT - CONCERNING RIGHT TO WORK ON SOME PUBLIC WORK CONTRACTS,0,VOTE NO; REPEAL LAW PASSED BY LEGISLATURE; LAW HAS GONE TOO FAR; SHOULD BE SUPPLANTED BY MILDER LAW | Phase 11 direction verified (sample OCR-confirmed),0.95
AZ,Arizona Daily Star,100750,1950,AZ,AMENDMENT,100-101,LIABILITY OF BANKS - REPEAL DOUBLE LIABILITY ON STATE BANKS,1,"VOTE 100 YES, 101 NO; FAIR ACTION | Phase 11 direction verified (sample OCR-confirmed)",0.95
AZ,Arizona Daily Star,100750,1950,AZ,AMENDMENT,100-101,RELATING TO LIABILITY OF BANKS — REPEALS DOUBLE LIABILITY IMPOSED ON STATE BANKS TO BRING THEM IN LINE WITH NATIONAL BANKS,1,VOTE 100 YES (101 NO); A FAIR ACTION | Phase 11 direction verified (sample OCR-confirmed),0.95
AZ,Arizona Daily Star,100750,1950,AZ,AMENDMENT,102-103,"MAINTENANCE OF KINDERGARTEN, COMMON AND HIGH SCHOOLS",0,"VOTE 102 NO, 103 NO; WRITES INTO CONSTITUTION RIGID CONTRIBUTION; LEFT TO LEGISLATURE | Phase 11 direction verified (sample OCR-confirmed)",0.95
AZ,Arizona Daily Star,100750,1950,AZ,AMENDMENT,102-103,"RELATING TO MAINTENANCE OF KINDERGARTEN SCHOOLS, COMMON SCHOOLS AND HIGH SCHOOLS — WRITES INTO CONSTITUTION RIGID CONTRIBUTION BY STATE FOR SCHOOL OPERATION",0,VOTE 103 NO — MATTER SHOULD BE LEFT TO LEGISLATURE | Phase 11 direction verified (sample OCR-confirmed),0.95
AZ,Arizona Daily Star,100750,1950,AZ,AMENDMENT,104-105,STATE BOARD OF EDUCATION - APPOINTMENT BY GOVERNOR; INCLUSION OF LAYMEN,1,"VOTE 104 YES, 105 NO | Phase 11 direction verified (sample OCR-confirmed)",0.95
AZ,Arizona Daily Star,100750,1950,AZ,AMENDMENT,104-105,RELATING TO STATE BOARD OF EDUCATION — PROVIDES FOR APPOINTMENT OF STATE BOARD BY GOVERNOR AND INCLUSION OF LAYMEN ON BOARD,1,VOTE 104 YES | Phase 11 direction verified (sample OCR-confirmed),0.95
AZ,Arizona Daily Star,100750,1950,AZ,AMENDMENT,106-107,"ESTABLISHMENT OF MERIT SYSTEM FOR PUBLIC EMPLOYES - TOWN, COUNTY AND STATE",0,"VOTE 106 NO, 107 NO; NO BETTERMENT IN SERVICE | Phase 11 direction verified (sample OCR-confirmed)",0.95
AZ,Arizona Daily Star,100750,1950,AZ,AMENDMENT,106-107,"RELATING TO ESTABLISHMENT OF MERIT SYSTEM FOR PUBLIC EMPLOYES — CIVIL SERVICE INTO TOWN, COUNTY AND STATE OFFICES",0,VOTE 107 NO — ADDS EXTRA EXPENSE BUT NO BETTERMENT IN SERVICE | Phase 11 direction verified (sample OCR-confirmed),0.95
AZ,Arizona Daily Star,100750,1950,AZ,INITIATIVE,300-301,MERIT SYSTEM FOR PEACE OFFICERS,0,"VOTE 300 NO, 301 NO; EXTRA COST FOR OPERATION; NO BETTER SERVICE | Phase 11 direction verified (sample OCR-confirmed)",0.95
AZ,Arizona Daily Star,100750,1950,AZ,INITIATIVE,300-301,RELATING TO MERIT SYSTEM FOR PEACE OFFICERS — WOULD CREATE MERIT SYSTEM FOR PEACE OFFICERS IN EVERY COUNTY AND CITY IN STATE,0,VOTE 301 NO — EXTRA COST; WOULD FREEZE INTO OFFICE SHERIFF MARTIN'S DEPUTIES | Phase 11 direction verified (sample OCR-confirmed),0.95
AZ,Arizona Daily Star,100750,1950,AZ,INITIATIVE,302-303,LEGALIZING GAMBLING,0,"VOTE 302 NO, 303 NO; FAR MORE COSTLY THAN ANY MINOR TAX RELIEF | Phase 11 direction verified (sample OCR-confirmed)",0.95
AZ,Arizona Daily Star,100750,1950,AZ,INITIATIVE,302-303,RELATING TO LEGALIZING GAMBLING,0,VOTE 303 NO — WOULD BRING TO ARIZONA AN ELEMENT WHICH WOULD BE FAR MORE COSTLY THAN ANY MINOR TAX RELIEF IT MIGHT GIVE | Phase 11 direction verified (sample OCR-confirmed),0.95
AZ,Arizona Daily Star,100750,1950,AZ,INITIATIVE,304-305,EXCISE TAXATION - INCREASE SALES TAX FROM TWO CENTS TO THREE CENTS ON DOLLAR,0,"VOTE 304 NO, 305 NO | Phase 11 direction verified (sample OCR-confirmed)",0.95
AZ,Arizona Daily Star,100750,1950,AZ,INITIATIVE,304-305,RELATING TO EXCISE TAXATION — WOULD INCREASE SALES TAX FROM TWO CENTS TO THREE CENTS ON THE DOLLAR,0,VOTE 305 NO | Phase 11 direction verified (sample OCR-confirmed),0.95
AZ,Arizona Daily Star,100750,1950,AZ,INITIATIVE,306-307,LOCAL OPTION,0,"VOTE 306 NO, 307 NO; LEGISLATURE COMPETENT TO HANDLE | Phase 11 direction verified (sample OCR-confirmed)",0.95
AZ,Arizona Daily Star,100750,1950,AZ,INITIATIVE,306-307,RELATING TO LOCAL OPTION (ALCOHOL),0,VOTE 307 NO — WOULD TAKE FROM LEGISLATURE A MATTER IT IS FULLY COMPETENT TO HANDLE | Phase 11 direction verified (sample OCR-confirmed),0.95
AZ,Arizona Daily Star,100750,1950,AZ,INITIATIVE,308-309,WORKMAN'S COMPENSATION - LIMIT TO $300 A MONTH,0,"VOTE 308 NO, 309 NO; UNFAIR, RIGID LIMITATION | Phase 11 direction verified (sample OCR-confirmed)",0.95
AZ,Arizona Daily Star,100750,1950,AZ,INITIATIVE,308-309,RELATING TO WORKMAN'S COMPENSATION — WOULD LIMIT TO $300 A MONTH FOR COMPUTATION PURPOSES,0,"VOTE 309 NO — UNFAIR, RIGID LIMITATION | Phase 11 direction verified (sample OCR-confirmed)",0.95
AZ,Arizona Daily Star,100750,1950,AZ,INITIATIVE,312-313,SOCIAL SECURITY AND PUBLIC WELFARE - $75 MONTHLY PENSION,0,"VOTE 312 NO, 313 NO; COSTLY | Phase 11 direction verified (sample OCR-confirmed)",0.95
AZ,Arizona Daily Star,100750,1950,AZ,INITIATIVE,312-313,RELATING TO SOCIAL SECURITY AND PUBLIC WELFARE — CREATES $75 MONTHLY PENSION WITHOUT REQUIRING RELATIVES' RESPONSIBILITY OR NEED,0,"VOTE 313 NO — COSTLY MINIMUM OF $12,445,200 | Phase 11 direction verified (sample OCR-confirmed)",0.95
AZ,Arizona Daily Star,100750,1950,AZ,INITIATIVE,314-315,EMPLOYMENT SECURITY - INCREASE UNEMPLOYMENT PAYMENTS,0,"VOTE 314 NO, 315 NO; COSTLY; LEFT TO LEGISLATURE | Phase 11 direction verified (sample OCR-confirmed)",0.95
AZ,Arizona Daily Star,100750,1950,AZ,INITIATIVE,314-315,RELATING TO EMPLOYMENT SECURITY — WOULD INCREASE UNEMPLOYMENT PAYMENTS FROM $20 TO $25 WEEKLY AND NUMBER OF WEEKS FROM 12 TO 26,0,VOTE 315 NO — COSTLY AND SHOULD BE LEFT TO LEGISLATURE | Phase 11 direction verified (sample OCR-confirmed),0.95
AZ,Arizona Daily Star,100750,1950,AZ,INITIATIVE,316-317,EMPLOYMENT SECURITY FOR AGRICULTURAL WORKERS,0,"VOTE 316 NO, 317 NO; CAN BE ADEQUATELY HANDLED BY LEGISLATURE | Phase 11 direction verified (sample OCR-confirmed)",0.95
AZ,Arizona Daily Star,100750,1950,AZ,INITIATIVE,316-317,RELATING TO EMPLOYMENT SECURITY FOR AGRICULTURAL WORKERS,0,VOTE 317 NO — MEASURE CAN BE ADEQUATELY CARED FOR BY THE LEGISLATURE | Phase 11 direction verified (sample OCR-confirmed),0.95
AZ,Arizona Daily Star,100750,1950,AZ,INITIATIVE,318-319,PROHIBITING SEGREGATION IN PUBLIC SCHOOLS,0,"VOTE 318 NO, 319 NO; SHOULD BE LEFT TO LEGISLATURE | Phase 11 direction verified (sample OCR-confirmed)",0.95
AZ,Arizona Daily Star,100750,1950,AZ,INITIATIVE,318-319,PROHIBITING SEGREGATION IN PUBLIC SCHOOLS — REPEALS STATE LAW REQUIRING SEGREGATION OF PUPILS OF NEGRO RACE IN COMMON SCHOOLS AND PROVISION ALLOWING HIGH SCHOOLS TO SEGREGATE BY VOTE OF DISTRICT,0,VOTE 319 NO — MEASURE ENTERS A FIELD WHICH SHOULD BE LEFT TO LEGISLATURE WHERE REPEAL OF RACIAL DISCRIMINATION LAWS SHOULD BE SOUGHT | Phase 11 direction verified (sample OCR-confirmed),0.95
AZ,Arizona Daily Star,100750,1952,AZ,BALLOT MEASURE,,BALLOT MEASURES (SIX TOTAL); STAR RECOMMENDS NO ON ALL EXCEPT ONE,0,STAR RECOMMENDS NO VOTE ON ALL SIX MEASURES EXCEPT ONE PHASE 1 PROP_TYPE NORMALIZATION (AZ-SPECIFIC: PROPOSITION/STATE/LOCAL → BALLOT MEASURE/REFERENDUM; EMPTY → AMENDMENT FOR 1986/1988 CONSTITUTIONAL AMENDMENTS). | Phase 11 direction verified (sample OCR-confirmed),0.85
AZ,Arizona Daily Star,100750,1952,AZ,BALLOT MEASURE,213,MEASURE RELATING TO LABOR ORGANIZATIONS; PROHIBITS SECONDARY BOYCOTT,1,STAR RECOMMENDS VOTE 213 YES PHASE 1 PROP_TYPE NORMALIZATION (AZ-SPECIFIC: PROPOSITION/STATE/LOCAL → BALLOT MEASURE/REFERENDUM; EMPTY → AMENDMENT FOR 1986/1988 CONSTITUTIONAL AMENDMENTS). | Phase 11 direction verified (sample OCR-confirmed),0.9
AZ,Arizona Daily Star,100750,1958,AZ,BALLOT MEASURE,200,PROPOSAL TO CHANGE THE NAME OF ARIZONA STATE COLLEGE AT TEMPE,0,VOTE NO PHASE 1 PROP_TYPE NORMALIZATION (AZ-SPECIFIC: PROPOSITION/STATE/LOCAL → BALLOT MEASURE/REFERENDUM; EMPTY → AMENDMENT FOR 1986/1988 CONSTITUTIONAL AMENDMENTS). | Phase 11 direction verified (sample OCR-confirmed),0.95
AZ,Arizona Daily Star,100750,1958,AZ,BALLOT MEASURE,201,"PROPOSAL TO FORCE A MERIT SYSTEM ON ALL COUNTIES, CITIES AND TOWNS IN THE STATE",0,VOTE NO PHASE 1 PROP_TYPE NORMALIZATION (AZ-SPECIFIC: PROPOSITION/STATE/LOCAL → BALLOT MEASURE/REFERENDUM; EMPTY → AMENDMENT FOR 1986/1988 CONSTITUTIONAL AMENDMENTS). | Phase 11 direction verified (sample OCR-confirmed),0.95
AZ,Arizona Daily Star,100750,1960,AZ,BALLOT MEASURE,,THREE PROPOSITIONS ON THE BALLOT,1,STAR ENDORSES YES VOTE ON THREE PROPOSITIONS PHASE 1 PROP_TYPE NORMALIZATION (AZ-SPECIFIC: PROPOSITION/STATE/LOCAL → BALLOT MEASURE/REFERENDUM; EMPTY → AMENDMENT FOR 1986/1988 CONSTITUTIONAL AMENDMENTS). | Phase 11 direction verified (sample OCR-confirmed),0.55
AZ,Arizona Daily Star,100750,1962,AZ,AMENDMENT,100,AMENDMENT TO CONSTITUTION OF ARIZONA RELATING TO THE LEGISLATURE; PROVIDING FOR CONTINUITY OF STATE AND LOCAL GOVERNMENTAL OPERATIONS IN PERIODS OF EMERGENCY RESULTING FROM DISASTERS CAUSED BY ENEMY ATTACK,0,STAR RECOMMENDS NO ON PROPOSITION 100. | Phase 11 direction verified (sample OCR-confirmed),0.95
AZ,Arizona Daily Star,100750,1962,AZ,AMENDMENT,101,AMENDMENT TO CONSTITUTION OF ARIZONA RELATING TO SUFFRAGE AND ELECTIONS; PROVIDING FOR PRIMARY AND GENERAL ELECTIONS FOR US SENATOR AND REPRESENTATIVE WHEN VACANCY OCCURS,0,STAR RECOMMENDS NO ON PROPOSITION 101. | Phase 11 direction verified (sample OCR-confirmed),0.95
AZ,Arizona Daily Star,100750,1962,AZ,AMENDMENT,102,AMENDMENT TO CONSTITUTION OF ARIZONA RELATING TO QUALIFICATIONS OF PERSONS VOTING FOR PRESIDENTIAL ELECTORS AT A GENERAL ELECTION,1,STAR RECOMMENDS YES ON PROPOSITION 102. | Phase 11 direction verified (sample OCR-confirmed),0.95
AZ,Arizona Daily Star,100750,1962,AZ,INITIATIVE,103,INITIATIVE MEASURE AMENDING CONSTITUTION OF ARIZONA BY ADDING ARTICLE XXVI,1,STAR RECOMMENDS YES ON PROPOSITION 103. | Phase 11 direction verified (sample OCR-confirmed),0.95
AZ,Arizona Daily Star,100750,1962,AZ,INITIATIVE,200,INITIATIVE MEASURE RELATING TO TAXATION; CREATING ARIZONA STATE BOARD OF APPRAISAL STANDARDS FOR DIRECTING SURVEY AND REAPPRAISAL OF PROPERTY FOR TAXATION,0,STAR RECOMMENDS NO ON PROPOSITION 200. | Phase 11 direction verified (sample OCR-confirmed),0.95
AZ,Arizona Daily Star,100750,1964,AZ,BALLOT MEASURE,100,TAX AIRPLANES SAME AS AUTOMOBILES,1,VOTE YES PHASE 1 PROP_TYPE NORMALIZATION (AZ-SPECIFIC: PROPOSITION/STATE/LOCAL → BALLOT MEASURE/REFERENDUM; EMPTY → AMENDMENT FOR 1986/1988 CONSTITUTIONAL AMENDMENTS). | Phase 11 direction verified (sample OCR-confirmed),0.95
AZ,Arizona Daily Star,100750,1964,AZ,BALLOT MEASURE,101,CHANGE STATE BOARD OF EDUCATION MEMBERSHIP - REMOVE TWO COLLEGE PRESIDENTS ADD THREE LAY MEMBERS,0,VOTE NO PHASE 1 PROP_TYPE NORMALIZATION (AZ-SPECIFIC: PROPOSITION/STATE/LOCAL → BALLOT MEASURE/REFERENDUM; EMPTY → AMENDMENT FOR 1986/1988 CONSTITUTIONAL AMENDMENTS). | Phase 11 direction verified (sample OCR-confirmed),0.95
AZ,Arizona Daily Star,100750,1964,AZ,BALLOT MEASURE,101,CHANGE STATE BOARD OF EDUCATION MEMBERSHIP,0,VOTE NO PHASE 1 PROP_TYPE NORMALIZATION (AZ-SPECIFIC: PROPOSITION/STATE/LOCAL → BALLOT MEASURE/REFERENDUM; EMPTY → AMENDMENT FOR 1986/1988 CONSTITUTIONAL AMENDMENTS). | Phase 11 direction verified (sample OCR-confirmed),0.95
